Title,Date,Summary,Topic
GPT-2: Language Models are Unsupervised Multitask Learners,2019-02-14,"Demonstrated that large-scale unsupervised language models could perform various NLP tasks through zero-shot and few-shot inference, and presented GPT-2, a large autoregressive transformer that generated coherent long-form text, sparking debates about model safety and release strategies.","LLMs, NLP, Deep Learning"
PaLM: Scaling Language Modeling with Pathways,2022-01-XX,"Described PaLM, a large-scale language model trained with efficient routing and scaling strategies to improve few-shot performance and reasoning capabilities. The work investigated scaling laws and architecture choices that influence emergent capabilities in very large models.","LLMs, Scaling, Deep Learning"
Chinchilla: Training Compute-Optimal Large Language Models,2022-08-XX,Argued that many large language models were undertrained relative to their parameter counts and proposed scaling compute to balance model size and training tokens. Chinchilla provided practical guidance for training compute-optimal LLMs and showed improved sample-efficiency.,"LLMs, Scaling Laws, Efficient Training"
LLaMA: Open and Efficient Foundation Language Models,2023-02-XX,"Presented LLaMA, a family of smaller but performant transformer models trained on curated corpora with careful pretraining recipes, demonstrating that competitive downstream performance can be achieved with more parameter-efficient models and data choices.","LLMs, Efficient Models, Pretraining"
OPT: Open Pretrained Transformer Models,2022-05-XX,"Released OPT models to support research reproducibility by providing openly available transformer language models and training logs. The work allowed researchers to study scaling, capabilities, and risks of large language models with transparent checkpoints and evaluations.","LLMs, Open Models, Reproducibility"
BLOOM: A 176B-Parameter Open Multilingual Language Model,2022-07-XX,Described the creation of a large multilingual open language model trained collaboratively across many institutions. BLOOM aimed to provide an open alternative to proprietary LLMs for multilingual research and to explore the social and technical implications of large-scale models.,"LLMs, Multilingual, Open Science"
BigGAN: Large Scale GAN Training for High Fidelity Natural Image Synthesis,2018-08-XX,"Details methods for scaling Generative Adversarial Networks to produce high-fidelity images by carefully tuning architecture, batch normalization, and training procedures. BigGAN demonstrated that larger capacity and careful regularization could yield realistic synthetic images.","Generative Models, GANs, Computer Vision"
StyleGAN: A Style-Based Generator Architecture for Generative Adversarial Networks,2018-12-XX,"Introduced a style-based generator architecture that allowed explicit control over image synthesis properties at different spatial scales, enabling high-quality and interpretable generation of faces and scenes. StyleGAN variants became widely used for generative tasks and creative applications.","Generative Models, GANs, Computer Vision"
CycleGAN: Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks,2017-10-XX,"Proposed CycleGAN, which enabled image-to-image translation without paired training data by enforcing cycle-consistency between mappings. This approach allowed style transfer, domain adaptation, and artistic transformations when aligned datasets were not available.","Generative Models, GANs, Computer Vision"
Autoencoders and Variational Autoencoders (VAE),2013-12-XX,Developed variational autoencoders which combine probabilistic latent variable modeling with neural networks to enable principled generation and representation learning. VAEs offer a framework for unsupervised learning with interpretable latent spaces and have been applied in generative modeling.,"Generative Models, VAEs, Representation Learning"
Neural Style Transfer,2015-06-XX,"Showed how deep convolutional feature representations can be used to transfer artistic style from one image onto the content of another, using optimization of image content and style losses derived from CNN activations. This work popularized creative uses of deep networks.","Computer Vision, Style Transfer, Deep Learning"
U-Net: Convolutional Networks for Biomedical Image Segmentation,2015-10-05,"Introduced the U-Net architecture with encoder-decoder structure and skip connections tailored for biomedical segmentation tasks with limited data. U-Net's design improved localization and feature reuse, making it a staple in medical image analysis and segmentation tasks.","CNN, Medical Imaging, Deep Learning"
Mask R-CNN: Instance Segmentation,2017-10-XX,"Extended Faster R-CNN with a parallel branch for predicting segmentation masks, enabling accurate instance-level segmentation along with bounding boxes and class labels. Mask R-CNN became a standard approach for many instance segmentation tasks in vision.","Computer Vision, Instance Segmentation, Deep Learning"
Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2015-06-23,Combined region proposal networks with Fast R-CNN to produce an end-to-end object detection pipeline that improved speed and accuracy. Faster R-CNN's integration of proposal generation and detection advanced object detection benchmarks and practical systems.,"Computer Vision, Object Detection, Deep Learning"
YOLO: You Only Look Once — Real-Time Object Detection,2016-01-XX,"Proposed a single-stage object detector that framed detection as a regression problem over bounding boxes and class probabilities, enabling real-time inference with good accuracy. YOLO variants have been widely used in applications requiring speed-sensitive detection.","Computer Vision, Object Detection, Real-Time"
SSD: Single Shot MultiBox Detector,2016-06-XX,"Presented SSD, a single-stage detection approach using multi-scale feature maps for detecting objects at different sizes. SSD balanced detection accuracy and inference speed, making it practical for embedded and mobile visual systems.","Computer Vision, Object Detection, Deep Learning"
MobileNet: Efficient Convolutional Neural Networks for Mobile Vision Applications,2017-04-17,"Introduced depthwise separable convolutions to drastically reduce computation and parameters for convolutional networks, enabling efficient models for mobile and embedded devices while retaining respectable accuracy on vision tasks.","Mobile Models, CNN, Efficient Architectures"
EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,2019-05-XX,"Proposed a compound model scaling method to balance depth, width, and resolution in convolutional networks, achieving strong accuracy with efficient computation. EfficientNet families became go-to models for performance/efficiency trade-offs in vision tasks.","CNN, Efficient Models, Model Scaling"
Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,2015-03-02,"Introduced batch normalization to stabilize and accelerate training of deep neural networks by normalizing layer inputs per mini-batch, allowing higher learning rates and improved regularization. BatchNorm became a standard component in modern deep architectures.","Optimization, Training Techniques, Deep Learning"
Dropout: A Simple Way to Prevent Neural Networks from Overfitting,2014-05-15,"Proposed dropout, a regularization technique that randomly drops units during training to prevent co-adaptation of features. Dropout improved generalization across many neural architectures and remains a common regularizer in practice.","Regularization, Deep Learning, Training Techniques"
Adam: A Method for Stochastic Optimization,2015-01-29,"Presented Adam, an adaptive learning rate optimization algorithm that combined ideas from momentum and RMSProp, providing efficient convergence with minimal hyperparameter tuning. Adam quickly became a default optimizer for many neural network applications.","Optimization, Training Algorithms, Deep Learning"
SGD with Momentum and Nesterov Accelerated Gradient,1999-XX,"Studied momentum-based acceleration of stochastic gradient descent, including Nesterov's accelerated gradient variants, which improved convergence speed by incorporating an estimate of future gradients. These techniques remain central to deep learning optimization practices.","Optimization, Training Algorithms"
XGBoost: A Scalable Tree Boosting System,2016-03-XX,"Described XGBoost, a scalable and efficient implementation of gradient boosting decision trees with regularization, sparsity-aware algorithms, and parallelization. XGBoost achieved state-of-the-art results on many tabular tasks and competitions, becoming a go-to method for structured data.","Ensemble Methods, Gradient Boosting, Structured Data"
LightGBM: A Highly Efficient Gradient Boosting Decision Tree,2017-10-XX,"Proposed LightGBM which used histogram-based algorithms, leaf-wise tree growth, and optimizations to speed up gradient boosting on large datasets. LightGBM emphasized training efficiency and memory footprint for large-scale structured learning.","Ensemble Methods, Gradient Boosting, Structured Data"
CatBoost: Unbiased Boosting with Categorical Features Support,2018-07-XX,"Introduced CatBoost, a gradient boosting library addressing categorical feature handling and target leakage through ordered boosting methods and encoders, improving performance on datasets with categorical variables without heavy preprocessing.","Ensemble Methods, Gradient Boosting, Structured Data"
SVM: Support Vector Machines,1995-XX,"Established support vector machines, which find maximum-margin hyperplanes for classification using kernel methods to handle nonlinearly separable data. SVMs provided strong theoretical foundations for margin-based learning with broad applications in classification and regression.","Classical ML, Kernel Methods, Supervised Learning"
Random Forests,2001-10-01,"Introduced Random Forests, an ensemble of decision trees trained with bootstrap aggregation and random feature selection to reduce variance and overfitting. Random Forests provided robust performance across many tasks and became a staple algorithm for tabular data.","Ensemble Methods, Supervised Learning"
AdaBoost: A Short Introduction to Boosting,1997-XX,"Presented AdaBoost, an influential boosting algorithm that adaptively reweights training examples to focus on hard-to-classify cases and combines weak learners into a strong ensemble, providing theoretical insights and practical utility in classification.","Ensemble Methods, Boosting, Supervised Learning"
t-SNE: Stochastic Neighbor Embedding for Visualization,2008-09-XX,"Proposed t-SNE, a nonlinear dimensionality reduction technique that preserves local structure for high-dimensional data visualization, enabling meaningful 2D/3D embeddings for exploratory analysis though at higher computational cost for large datasets.","Dimensionality Reduction, Visualization"
UMAP: Uniform Manifold Approximation and Projection for Dimension Reduction,2018-06-XX,"Introduced UMAP, which provided faster, scalable dimensionality reduction for visualization and downstream tasks by modeling data manifolds via fuzzy simplicial sets and optimizing low-dimensional embeddings, often yielding meaningful global and local structure preservation.","Dimensionality Reduction, Visualization"
PCA: Principal Component Analysis (Classical),1901-XX,"Described principal component analysis as a linear dimensionality reduction method that finds orthogonal directions explaining maximal variance in data. PCA is a foundational technique for preprocessing, visualization, and noise reduction across many domains.","Dimensionality Reduction, Classical Methods"
t5-small etc (Tokenization and Preprocessing advances),2019-XX,"Work on tokenization, subword segmentation, and preprocessing improved how models represent text input, enabling better handling of rare words, multilingual corpora, and efficient input encoding. Methods like byte-pair encoding and sentencepiece became standard in model pipelines.","NLP, Tokenization, Preprocessing"
Neural ODEs: Continuous-Depth Models,2018-07-XX,"Introduced Neural Ordinary Differential Equations which treat transformations in deep networks as continuous-time dynamical systems, enabling adaptive computation, memory-efficient backpropagation, and new modeling perspectives linking differential equations with deep learning.","Continuous Models, Differential Equations, Deep Learning"
Graph Convolutional Networks (GCN),2016-03-XX,"Proposed GCNs for semi-supervised learning on graph-structured data by generalizing convolutions to graphs using spectral or spatial message-passing operations. GCNs enabled powerful representations for nodes, graphs, and relational data tasks across many domains.","Graph Neural Networks, Representation Learning"
GraphSAGE: Inductive Representation Learning on Large Graphs,2017-06-XX,"Introduced GraphSAGE which enabled inductive node embedding learning by sampling and aggregating neighbor features, allowing representation learning that generalized to previously unseen nodes and large-scale graphs with efficient neighborhood sampling.","Graph Neural Networks, Inductive Learning"
GAT: Graph Attention Networks,2018-06-XX,"Presented graph attention mechanisms to compute node representations by attending over neighbors with learned attention weights, improving expressivity and performance on graph tasks where neighbor importance varies, and combining attention with message passing frameworks.","Graph Neural Networks, Attention"
DeepWalk: Online Learning of Social Representations,2014-XX-XX,"Introduced DeepWalk which learned latent representations of graph nodes by sampling random walks and applying skip-gram style embedding learning, connecting language modeling approaches to graph representation learning and inspiring subsequent node embedding methods.","Graph Embeddings, Representation Learning"
node2vec: Scalable Feature Learning for Networks,2016-08-XX,"Presented node2vec, which used biased random walks to explore neighborhoods and learn node embeddings balancing homophily and structural equivalence, providing flexible control over embedding behavior for downstream graph tasks.","Graph Embeddings, Representation Learning"
Message Passing Neural Networks (MPNN),2017-XX-XX,"Formalized message passing frameworks for graph neural networks where nodes iteratively aggregate messages from neighbors, providing a unified paradigm for many graph architectures and enabling diverse tasks from chemistry to social network analysis.","Graph Neural Networks, Message Passing"
Siamese Networks for One-Shot Learning,2015-05-XX,Proposed siamese architectures that learn similarity metrics between pairs of inputs for one-shot and few-shot learning scenarios. These models improved tasks like face verification and metric learning by learning embeddings optimized for matching rather than classification alone.,"Metric Learning, Few-Shot Learning"
Matching Networks for One-Shot Learning,2016-05-XX,"Developed matching networks that used attention over a support set for one-shot classification, combining metric learning with episodic training to improve generalization for few-shot tasks and inspire meta-learning approaches.","Few-Shot Learning, Meta-Learning"
Prototypical Networks,2017-XX-XX,"Introduced prototypical networks which represent each class by a prototype computed as the mean embedding of its support examples, achieving simple and effective few-shot classification with distance-based prediction rules and scalable episodic training.","Few-Shot Learning, Metric Learning"
MAML: Model-Agnostic Meta-Learning,2017-03-XX,"Introduced MAML, an optimization-based meta-learning algorithm that finds initial model parameters which can be quickly adapted to new tasks with few gradient steps, enabling fast adaptation and improved performance on few-shot learning benchmarks.","Meta-Learning, Optimization, Few-Shot"
Reinforcement Learning: DQN (Deep Q-Networks),2015-02-XX,"Combined deep neural networks with Q-learning to learn value functions directly from high-dimensional inputs like raw pixels, enabling agents to learn control policies that beat human benchmarks in Atari games and spurring deep reinforcement learning research.","Reinforcement Learning, Deep Q-Learning"
AlphaGo: Mastering the Game of Go with Deep Neural Networks and Tree Search,2016-01-XX,"Combined supervised learning, reinforcement learning, and Monte Carlo Tree Search to create an agent capable of defeating top Go players, demonstrating the power of combining deep learning with search-based planning in complex combinatorial games.","Reinforcement Learning, Game AI, Search"
"AlphaZero: A General Reinforcement Learning Algorithm That Masters Chess, Shogi and Go",2017-12-XX,"Showed that tabula-rasa self-play reinforcement learning with a unified neural network and Monte Carlo Tree Search could master complex board games without domain-specific heuristics, illustrating generality and high performance of deep RL in strategic games.","Reinforcement Learning, Self-Play, Game AI"
"MuZero: Mastering Go, Chess, Shogi and Atari without rules",2019-10-XX,"Presented MuZero which learns a model of the environment's dynamics implicitly while planning with MCTS, enabling mastery of games without access to explicit rules, and combining model-based and model-free learning strengths effectively.","Reinforcement Learning, Planning, Model Learning"
PPO: Proximal Policy Optimization Algorithms,2017-07-XX,"Introduced PPO, a simple and reliable policy gradient method balancing sample efficiency and stability via clipped surrogate objectives. PPO became widely adopted in RL for its practical performance and ease of tuning across varied environments.","Reinforcement Learning, Policy Gradients"
SAC: Soft Actor-Critic,2018-01-XX,"Presented Soft Actor-Critic, an off-policy actor-critic algorithm that optimizes a stochastic policy with an entropy term to encourage exploration, delivering stable learning and strong performance on continuous control benchmarks.","Reinforcement Learning, Continuous Control"
A3C: Asynchronous Methods for Deep Reinforcement Learning,2016-06-XX,"Proposed asynchronous actor-critic methods to stabilize and speed up RL training by leveraging multiple parallel environments, reducing correlation in updates and improving exploration via independent actor learners.","Reinforcement Learning, Asynchronous Methods"
TRPO: Trust Region Policy Optimization,2015-08-XX,"Introduced TRPO, which constrained policy updates within trust regions to ensure stable policy improvements and reliable performance gains in policy gradient methods, informing later practical algorithms like PPO.","Reinforcement Learning, Policy Optimization"
REINFORCE: Policy Gradient Methods for Reinforcement Learning,1992-XX-XX,"Developed foundational policy gradient algorithms where gradients of expected returns are directly estimated using sampled trajectories, forming the basis of modern policy optimization methods and actor-critic variants.","Reinforcement Learning, Policy Gradients"
AlphaFold: Highly Accurate Protein Structure Prediction,2020-11-30,"Described AlphaFold, a deep learning system for predicting protein 3D structures from amino acid sequences with unprecedented accuracy, combining geometric insights, attention mechanisms, and evolutionary information; a milestone for computational biology and structural prediction.","Bioinformatics, Structure Prediction, Deep Learning"
NeRF: Neural Radiance Fields for Novel View Synthesis,2020-03-XX,Introduced neural radiance fields which learn continuous volumetric scene representations from images enabling high-quality novel view synthesis and relighting. NeRFs combined differentiable rendering with deep scene representation learning for photorealistic 3D reconstruction.,"3D Vision, Neural Rendering, Deep Learning"
SimCLR: A Simple Framework for Contrastive Learning of Visual Representations,2020-05-25,"Presented SimCLR, which uses large-batch contrastive learning with aggressive data augmentation and a projection head to learn useful visual representations without labels, demonstrating that large-scale contrastive pretraining can rival supervised representations.","Self-Supervised Learning, Contrastive Learning, Computer Vision"
MoCo: Momentum Contrast for Unsupervised Visual Representation Learning,2020-04-XX,"Proposed MoCo, which maintains a dynamic dictionary with a momentum-updated encoder to enable contrastive learning with manageable memory and stable keys, facilitating effective unsupervised visual representation learning across large datasets.","Self-Supervised Learning, Contrastive Learning"
BYOL: Bootstrap Your Own Latent — Self-Supervised Learning without Negative Examples,2020-06-XX,"Introduced BYOL, a self-supervised learning method that avoids explicit negative pairs by using momentum encoders and target networks, achieving strong representation learning performance and challenging assumptions about contrastive negatives.","Self-Supervised Learning, Representation Learning"
Barlow Twins: Self-Supervised Learning via Redundancy Reduction,2021-03-XX,"Presented Barlow Twins, which learns representations by decorrelating components of paired representations and reducing redundancy, providing an alternative objective for self-supervised learning that focuses on information preservation without negatives.","Self-Supervised Learning, Representation Learning"
DeiT: Data-efficient Image Transformers,2021-04-XX,"Showed that vision transformers could be trained efficiently on ImageNet-scale datasets using knowledge distillation from convolutional teachers, enabling competitive performance with smaller data regimes and introducing efficient training practices for ViT models.","Vision Transformers, Efficient Training"
Vision Transformer (ViT): An Image is Worth 16x16 Words,2020-06-XX,Adapted transformer architectures to vision by splitting images into patches treated as tokens and applying standard transformer encoders. ViT demonstrated that pure transformer models can reach or surpass CNN performance when trained on large datasets.,"Vision Transformers, Computer Vision, Deep Learning"
Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,2021-03-XX,"Introduced Swin Transformer, which applied shifted window attention to build hierarchical representations for vision tasks, enabling efficient computation and strong performance across detection and segmentation benchmarks, bridging locality and global attention.","Vision Transformers, Computer Vision"
Perceiver: General Perception with Iterative Attention,2021-09-XX,"Presented Perceiver models that process arbitrary modalities using latent arrays and cross-attention, enabling scalable and modality-agnostic architectures for audio, images, and multimodal tasks while avoiding quadratic attention costs on raw inputs.","Multimodal, Efficient Architectures, Transformers"
Performer: Efficient Transformers with Favorable Attention,2020-09-XX,"Proposed Performer, which used random feature methods to approximate softmax attention with linear complexity, allowing transformers to scale to longer sequences efficiently while retaining performant attention approximations.","Efficient Transformers, Long Sequences"
Reformer: The Efficient Transformer,2020-06-XX,"Introduced memory- and time-efficient transformer modifications such as locality-sensitive hashing attention and reversible layers to reduce memory footprint and computation, enabling training of very long sequences and larger models with constrained resources.","Efficient Transformers, Long Sequences"
Longformer: The Long-Document Transformer,2020-04-XX,"Proposed sparse attention patterns and sliding-window mechanisms to handle long documents efficiently, combining local and global attention to scale transformers to long inputs for NLP and document understanding tasks with improved memory characteristics.","Efficient Transformers, Long Documents"
Linformer: Self-Attention with Linear Complexity,2020-02-XX,"Suggested low-rank projections of attention matrices to reduce the complexity of self-attention from quadratic to linear, enabling scaling to longer sequences with reduced computation and memory, while empirically preserving performance on many tasks.","Efficient Transformers, Low-Rank Approximations"
MLP-Mixer: An All-MLP Architecture for Vision,2021-05-XX,"Showed that architectures based solely on multi-layer perceptrons with token-mixing and channel-mixing MLPs could achieve competitive vision performance, challenging assumptions that convolutions or self-attention are strictly necessary for strong image representations.","Vision, MLP Architectures, Deep Learning"
Neural Tangent Kernel (NTK) Theory,2018-03-XX,"Developed theoretical connections between infinitely wide neural networks and kernel methods, showing that training dynamics of wide networks can be approximated by kernel regression under certain limits and providing insights into optimization and generalization properties.","Theory, Neural Networks, Kernel Methods"
Lottery Ticket Hypothesis,2019-01-XX,"Proposed that dense, randomly initialized networks contain sub-networks (winning tickets) that, when trained in isolation, can reach comparable performance to the full network, inspiring research in pruning, sparsity, and efficient model training strategies.","Model Pruning, Sparse Networks, Training Efficiency"
Knowledge Distillation: Distilling the Knowledge in a Neural Network,2015-03-XX,"Introduced knowledge distillation techniques where a smaller student model learns to mimic a larger teacher's softened outputs, enabling effective model compression and transfer of representational knowledge for efficient deployment.","Model Compression, Distillation"
Quantization for Neural Networks,Various,"Research on quantization showed how to reduce model precision (e.g., 8-bit, 4-bit, binary) for weights and activations to lower memory and improve inference speed, exploring trade-offs between efficiency and accuracy critical for on-device and edge deployment.","Model Compression, Quantization, Efficient Inference"
Prompting and In-Context Learning Studies,2020-2022,"Series of works studied how large language models can be prompted with task descriptions and examples to perform various tasks without gradient updates, characterizing in-context learning dynamics, prompt engineering strategies, and limitations of prompt-based adaptation.","LLMs, Prompting, In-Context Learning"
Chain-of-Thought Prompting,2022-XX-XX,"Introduced chain-of-thought prompting methods where language models are prompted to generate intermediate reasoning steps, improving performance on complex reasoning tasks by eliciting structured internal reasoning chains that enhance final answer correctness.","LLMs, Reasoning, Prompting"
Self-Play and Emergent Abilities in Scale,2019-2023,"Research exploring emergent behaviors in large models and reinforcement settings found that scale, data diversity, and training regimes can lead to qualitatively new capabilities, from few-shot generalization to complex planning abilities, raising questions on predictability and evaluation.","LLMs, Emergence, Scaling"
Scaling Laws for Neural Language Models,2020-06-XX,"Described empirical scaling laws that relate model performance to compute, parameters, and dataset size, enabling principled predictions for model scaling and guiding resource allocation for building higher-performing models.","Theory, Scaling Laws, LLMs"
Multimodal Models: CLIP (Contrastive Language–Image Pre-training),2021-02-26,"Proposed CLIP, which learns joint visual-text representations through contrastive objectives over image-caption pairs, enabling zero-shot transfer to many vision tasks and demonstrating the power of language supervision for visual representation learning.","Multimodal, Vision-Language, Contrastive Learning"
DALL·E: Zero-Shot Text-to-Image Generation,2021-01-05,"Demonstrated that transformer-based models trained on image-caption pairs could generate diverse and creative images from text prompts in a zero-shot manner, combining visual generation with language conditioning and opening new directions for generative multimodal AI.","Generative Models, Multimodal, Text-to-Image"
Stable Diffusion: High-Resolution Image Synthesis with Latent Diffusion Models,2022-08-15,"Presented diffusion-based generative models operating in latent spaces that enable high-quality text-to-image synthesis with efficient sampling, demonstrating strong image fidelity, prompt conditioning, and practical usability for creative content generation at scale.","Diffusion Models, Generative AI, Multimodal"
Diffusion Models: Denoising Diffusion Probabilistic Models (DDPM),2020-12-XX,"Formalized diffusion-based generative modeling by learning reverse diffusion processes to map noise to data, achieving state-of-the-art sample quality in images and inspiring many extensions for conditional generation, audio synthesis, and latent-space diffusion variants.","Generative Models, Diffusion, Deep Learning"
Guided Diffusion and Classifier-Free Guidance,2021-XX-XX,"Developed guidance techniques that steer diffusion sampling toward desired attributes or text prompts without relying on external classifiers, improving controllability and sample fidelity for conditional generation tasks across image and audio domains.","Diffusion, Conditional Generation, Guidance"
Neural Architecture Search (NAS): NASNet,2017-XX-XX,"Applied automated architecture search to discover high-performing convolutional building blocks through reinforcement or evolutionary search, showing that automated design can produce architectures competitive with human-designed networks but requiring significant compute.","AutoML, NAS, Architecture Search"
DARTS: Differentiable Architecture Search,2018-XX-XX,"Introduced differentiable relaxation of architecture search spaces to enable gradient-based optimization of network architectures, drastically reducing compute for NAS and making automated model design more accessible and efficient for practitioners.","AutoML, NAS, Differentiable Search"
EfficientDet: Scalable and Efficient Object Detection,2020-XX-XX,"Proposed EfficientDet which combined EfficientNet backbones with a compound scaling approach and BiFPN feature fusion to create a family of detectors that balance accuracy and computational cost, useful for resource-constrained detection systems.","Object Detection, Efficient Models"
